"zone","state","lga","sector","ea","hhid","lat_dd_mod","lon_dd_mod","qa_type","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","afmnslp_pct","srtm_nga","twi_nga","srtm_nga_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2010_tot","h2010_wetQ","h2010_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2010_eviarea","h2010_evimax","h2010_grn","h2010_sen"
4,1,115,1,670,10001,5.53545594433,7.53153560163,1,2.5,4,48.6,532.8,4.9,260,246,2157,323,907,39,30,313,6.589404,145,16,4,3,2,1,1,1,1,1,1912,908,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,115,1,670,10002,5.53545594433,7.53153560163,1,2.5,4,48.7,532.8,4.9,260,246,2157,323,907,37,30,313,6.589404,142,13,4,3,2,1,1,1,1,1,1912,908,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,115,1,670,10003,5.53545594433,7.53153560163,1,2.5,4.1,48.6,532.8,5,260,246,2157,323,907,39,30,313,6.589404,145,16,4,3,2,1,1,1,1,1,1912,908,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,115,1,670,10004,5.53545594433,7.53153560163,1,2.6,4.1,48.5,532.9,5,260,246,2157,323,907,39,30,313,6.589404,150,12,4,3,2,1,1,1,1,1,1912,908,16,1670,690,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,115,1,670,10005,5.53545594433,7.53153560163,1,2.5,4,48.5,532.8,4.9,260,246,2157,323,907,38,30,313,6.589404,145,13,4,3,2,1,1,1,1,1,1912,908,16,1670,690,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,115,1,670,10006,5.53545594433,7.53153560163,1,2.5,4,48.5,532.8,4.9,260,246,2157,323,907,38,30,313,6.589404,141,16,4,3,2,1,1,1,1,1,1912,908,16,1670,690,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,115,1,670,10007,5.53545594433,7.53153560163,1,2.5,4.1,48.7,532.8,5,260,246,2157,323,907,37,30,313,6.589404,147,12,4,3,2,1,1,1,1,1,1912,908,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,115,1,670,10008,5.53545594433,7.53153560163,5,14.6,16.5,57.7,543.8,17.2,264,250,2140,320,902,30,30,313,8.784041,137,12,4,3,2,1,1,1,1,1,1933,928,16,1670,688,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,115,1,670,10009,5.53545594433,7.53153560163,1,2.5,4,48.6,532.8,4.9,260,246,2157,323,907,39,30,313,6.589404,141,16,4,3,2,1,1,1,1,1,1912,908,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,115,1,670,10010,5.53545594433,7.53153560163,1,2.6,4.2,48.7,532.9,5,260,246,2157,323,907,37,30,313,6.589404,150,14,4,3,2,1,1,1,1,1,1912,908,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,104,2,1364,10011,5.55555406781,7.611029751,1,14.6,16.5,57.6,543.8,17.1,264,250,2140,320,902,30,30,313,8.784041,137,13,4,3,2,1,1,1,1,1,1933,928,16,1670,688,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,104,2,1364,10012,5.55555406781,7.611029751,1,14.6,16.5,57.6,543.8,17.1,264,250,2140,320,902,30,30,313,8.784041,137,13,4,3,2,1,1,1,1,1,1933,928,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,104,2,1364,10013,5.55555406781,7.611029751,1,14.6,16.6,57.6,543.8,17.2,264,250,2140,320,902,30,30,313,8.784041,137,14,4,3,2,1,1,1,1,1,1933,928,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,104,2,1364,10014,5.55555406781,7.611029751,1,14.6,16.5,57.6,543.8,17.1,264,250,2140,320,902,30,30,313,8.784041,137,14,4,3,2,1,1,1,1,1,1933,928,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,104,2,1364,10015,5.55555406781,7.611029751,1,14.7,16.6,57.7,543.8,17.2,264,250,2140,320,902,30,30,313,8.784041,137,14,4,3,2,1,1,1,1,1,1933,928,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,104,2,1364,10016,5.55555406781,7.611029751,1,14.6,16.5,57.6,543.8,17.1,264,250,2140,320,902,30,30,313,8.784041,137,13,4,3,2,1,1,1,1,1,1933,928,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,104,2,1364,10017,5.55555406781,7.611029751,3,14.6,16.6,57.7,543.8,17.2,264,250,2140,320,902,30,30,313,8.784041,137,12,4,3,2,1,1,1,1,1,1933,928,16,1670,688,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,104,2,1364,10018,5.55555406781,7.611029751,1,14.6,16.6,57.7,543.8,17.2,264,250,2140,320,902,30,30,313,8.784041,137,12,4,3,2,1,1,1,1,1,1933,928,16,1670,688,11,37.8,0.499,108,334,43,0.5105,100,339
