"zone","state","lga","sector","ea","hhid","shock_cd","s15aq1","s15aq1b","s15aq2","s15aq3a","s15aq3b","s15aq3c","s15aq3d","s15aq3e","s15aq4a","s15aq4b","s15aq4c","s15aq5a","s15aq5b","s15aq5c","s15aq5d","s15aq6a","s15aq6b","s15aq6c"
4,1,115,1,670,10006,1,1,,1,,,1,,,1,,,1,,,,1,2,
4,1,104,2,1364,10012,1,1,,1,,,,,1,1,,,15,14,,,,,
4,1,104,2,1364,10013,2,1,,1,,,1,,,1,,,21,,,,98,,
4,1,104,2,1364,10014,15,1,,1,,,,1,,1,,,21,,,,1,,
4,1,104,2,1364,10016,20,1,,3,,,1,1,1,1,,,1,,,,,,
4,1,106,2,880,10023,11,1,,1,,,1,,,,2,,14,8,15,,1,2,
4,1,106,2,880,10024,2,1,,1,,,,1,,1,,,21,,,,1,,
4,1,106,2,880,10025,2,1,,,,,,,1,1,,,21,,,,1,,
4,1,106,2,880,10026,2,1,,1,,,,1,,1,,,21,,,,98,,
4,1,106,2,880,10027,3,1,,1,,,,1,,1,,,1,,,,1,,
4,1,106,2,880,10027,21,1,,3,,1,1,1,,,1,,,2,,,,2,
4,1,106,2,880,10027,22,1,,,,,1,,,,,3,,,3,,,2,
4,1,106,2,880,10028,21,1,,3,,1,1,1,,1,,,1,,,,1,,
4,1,106,2,880,10029,8,1,,5,1,,1,1,,1,,,2,11,,,2,3,4
4,1,106,2,880,10030,2,1,,1,,,,1,,,,,8,7,,,,,
4,1,106,2,880,10030,3,1,,3,1,,1,,1,3,2,,11,14,,,,,
4,1,111,1,1146,10036,7,1,,1,,,,1,,1,,,7,,,,2,,
4,1,111,1,1146,10038,20,1,,2,,1,1,1,1,1,2,,,2,,,1,2,
4,1,111,1,1146,10038,21,1,,2,,,1,1,,1,2,,1,,,,1,2,
4,1,111,1,1146,10039,21,1,,2,,,1,1,,1,2,,,,,,1,2,5
4,1,111,1,1146,10040,21,1,,3,,,1,1,1,1,2,,1,,,,1,,
4,1,111,1,1146,10040,22,1,,,,,,,,1,2,,,2,,,1,,
4,1,102,1,536,10044,15,1,,1,,,1,,,1,,,,,,,,,
4,1,102,1,536,10046,20,1,,3,,,1,1,1,1,2,,,,,,98,,
4,1,102,1,536,10046,21,1,,2,,,,1,1,1,2,,,,,,98,,
4,1,102,1,536,10047,20,1,,4,,1,1,1,1,1,2,,,2,,,98,,
4,1,102,1,536,10047,21,1,,2,,,1,1,,1,2,,1,,,,98,,
4,1,102,1,536,10049,1,1,,1,1,,,,,1,,,21,,,,1,,
4,1,102,1,1690,10053,1,1,,1,,1,,,,1,,,21,,,,98,,
4,1,102,1,1690,10054,1,1,,1,,,,1,,1,,,21,,,,2,,
4,1,102,1,1690,10055,20,1,,5,1,1,1,1,1,2,,,,22,,,,98,
4,1,102,1,1690,10055,21,1,,2,,,,1,1,1,,,10,,,,1,2,
4,1,102,1,1690,10056,20,1,,5,1,1,1,1,1,,2,,,2,,,1,,
4,1,102,1,1690,10056,21,1,,2,,,,1,1,,2,,1,,,,1,2,
4,1,102,1,1690,10057,21,1,,1,3,,1,1,1,1,2,,1,,,,1,2,
4,1,102,1,1690,10058,3,1,,,1,1,1,1,1,1,,,8,,,,98,,
