"zone","state","lga","sector","ea","hhid","death_num","s15bq1","s15bq3","s15bq4","s15bq5a","s15bq5b","s15bq5c","s15bq6","s15bq6b"
4,1,104,2,1364,10012,1,1,1,69,8,1,11,1,
4,1,117,2,560,10074,1,1,1,73,6,3,10,1,
2,2,203,2,1224,20043,1,1,1,7,5,6,1,1,
2,2,214,2,898,20072,1,1,1,77,17,12,10,3,
2,2,207,2,1302,20098,1,1,1,5,6,12,10,1,
5,3,331,1,516,30016,1,1,1,64,13,1,11,5,
5,3,307,1,634,30049,1,1,1,72,14,6,10,1,
5,3,313,2,70,30099,1,1,2,33,0,1,1,6,"CHILD BIRTH"
5,3,301,1,1198,30104,1,1,2,79,13,1,11,1,
5,3,326,2,74,30117,1,1,1,40,3,1,11,1,
5,3,326,2,74,30118,1,1,1,13,26,11,97,1,
5,3,326,2,74,30118,2,1,1,3,15,10,7,1,
5,3,312,2,20,30140,1,1,2,30,10,9,10,1,
5,3,305,2,4,30144,1,1,1,37,14,2,11,1,
4,4,417,1,678,40013,1,1,1,23,31,12,10,2,
4,4,415,1,2108,40044,1,1,1,50,30,6,10,1,
4,4,415,1,2108,40048,1,1,1,40,12,11,10,1,
4,4,415,1,2108,40048,2,1,1,30,8,1,11,2,
4,4,405,2,722,40065,1,1,1,50,14,11,10,1,
4,4,405,2,484,40079,1,1,1,85,29,2,11,1,
4,4,419,2,296,40081,1,1,1,37,29,2,10,2,
4,4,419,2,296,40085,1,1,1,70,20,8,10,2,
4,4,412,2,1606,40111,1,1,2,75,7,9,10,1,
4,4,412,2,1606,40116,1,1,1,65,15,9,10,1,
4,4,410,2,4036,40124,1,1,1,72,10,7,10,1,
4,4,421,1,800,40178,1,1,1,92,10,4,10,1,
4,4,403,2,836,40212,1,1,1,30,20,2,11,6,"HEART FAILURE"
2,5,502,1,2194,50012,1,1,2,70,99,2,11,1,
2,5,502,2,3878,50039,1,1,1,3,14,8,11,1,
2,5,504,2,708,50048,1,1,2,26,14,3,11,1,
2,5,514,2,710,50065,1,1,1,0,98,4,10,1,
2,5,501,2,60,50074,1,1,1,2,23,12,10,1,
2,5,501,2,60,50076,1,1,1,0,5,11,10,1,
2,5,501,2,60,50076,2,1,2,20,23,9,10,1,
2,5,508,2,984,50092,1,1,2,0,12,1,11,1,
2,5,514,1,2036,50102,1,1,1,22,9,10,10,1,
2,5,508,2,718,50113,1,1,1,1,23,12,10,1,
2,5,508,2,718,50113,2,1,2,3,17,11,10,1,
2,5,518,2,1588,50132,1,1,1,1,21,10,10,2,
2,5,518,2,1588,50132,2,1,2,3,3,12,10,1,
2,5,518,2,1588,50132,3,1,2,20,21,10,10,2,
2,5,518,2,1588,50132,4,1,2,5,13,3,11,1,
2,5,510,2,1516,50149,1,1,1,0,,,,1,
2,5,518,2,1304,50151,1,1,1,70,13,2,11,1,
2,5,518,2,1304,50152,1,1,1,70,13,2,11,1,
2,5,520,2,1756,50166,1,1,1,3,17,12,10,1,
5,6,606,2,1372,60011,1,1,2,42,99,9,10,1,
5,6,607,2,1892,60036,1,1,1,35,8,2,11,1,"ILLNESS"
5,6,607,2,1892,60040,1,1,1,28,27,11,10,1,
5,6,605,2,162,60055,1,1,2,4,6,11,10,1,
5,6,608,2,748,60061,1,1,1,,,,10,1,
5,6,608,2,748,60068,1,1,1,0,10,10,10,1,
1,7,701,2,606,70103,1,1,2,99,5,11,10,1,
1,7,715,1,294,70150,1,1,1,70,16,12,10,1,
1,7,713,2,304,70156,1,1,2,6,15,1,11,1,
1,7,713,2,304,70159,1,1,1,35,15,11,10,1,
2,8,816,2,1270,80038,1,1,1,70,1,5,11,1,
2,8,803,1,944,80044,1,1,2,0,99,11,10,1,
2,8,803,1,944,80047,1,1,1,2,14,10,10,1,
2,8,811,1,1558,80052,1,1,2,1,26,2,11,1,
2,8,802,2,1152,80079,1,1,1,3,21,8,10,1,
2,8,827,2,804,80102,1,1,2,3,10,7,22,1,
2,8,827,2,804,80104,1,1,1,1,15,6,10,1,
2,8,827,2,804,80105,1,1,1,4,99,10,10,1,
2,8,827,2,804,80110,1,1,1,43,15,11,10,1,
2,8,807,2,946,80113,1,1,1,65,15,7,10,3,
2,8,807,2,946,80114,1,1,1,65,15,7,10,3,
2,8,807,2,2396,80121,1,1,2,0,5,2,11,1,
2,8,807,2,1438,80138,1,1,1,0,99,9,11,1,
2,8,820,2,1030,80146,1,1,1,80,99,12,11,1,
2,8,817,1,2476,80166,1,1,1,45,28,3,11,1,
2,8,823,2,548,80174,1,1,1,70,20,1,11,1,
2,8,809,2,1748,80182,1,1,1,80,1,4,11,1,
2,8,809,2,1748,80183,1,1,2,20,7,11,10,1,
2,8,809,2,1748,80183,2,1,2,10,10,1,11,1,
2,8,809,2,1748,80186,1,1,2,1,99,99,11,1,
