"zone","state","lga","sector","ea","ric","hhid","wt_wave1","wt_combined","hhno","qno","qnoa","saq11","saq12","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq16","saq17d","saq17m","saq17y","saq18ah","saq18am","saq18bh","saq18bm","saq20","saq21d","saq21m","saq21y","saq22ah","saq22am","saq22bh","saq22bm","saq24","sq1","sq2","trackingobs"
4,1,115,1,670,1309,10001,11898.6572265625,11898.6572265625,30,1,1,2,1,24,3,2011,10,48,13,5,2,,,,,,,,,,,,,,,,,1,1,0
4,1,115,1,670,1309,10002,11898.6572265625,11898.6572265625,14,1,1,2,1,24,3,2011,13,10,16,13,2,,,,,,,,,,,,,,,,,1,1,0
4,1,115,1,670,1309,10003,11898.6572265625,11898.6572265625,40,1,1,3,1,24,3,2011,8,30,10,40,3,24,3,2011,11,15,13,20,,,,,,,,,,1,1,0
4,1,115,1,670,1309,10004,11898.6572265625,11898.6572265625,62,1,1,3,1,24,3,2011,13,30,15,0,3,24,3,2011,15,15,17,20,,,,,,,,,,1,1,0
4,1,115,1,670,1309,10006,11898.6572265625,11898.6572265625,24,1,1,4,1,23,3,2011,13,35,16,50,3,,,,,,,,,,,,,,,,,1,1,0
4,1,115,1,670,1309,10008,11898.6572265625,11898.6572265625,51,1,1,5,1,24,3,2011,9,0,13,25,2,,,,,,,,,,,,,,,,,1,1,0
4,1,115,1,670,1309,10009,11898.6572265625,11898.6572265625,19,1,1,4,1,23,3,2011,10,20,13,15,2,,,,,,,,,,,,,,,,,1,1,0
4,1,115,1,670,1309,10010,11898.6572265625,11898.6572265625,46,1,1,4,1,24,3,2011,10,30,14,45,2,,,,,,,,,,,,,,,,,1,1,0
4,1,104,2,1364,1103,10011,10198.8486328125,11332.0546875,21,1,2,2,1,22,3,2011,10,23,13,35,2,,,,,,,,,,,,,,,,,1,1,0
4,1,104,2,1364,1103,10012,10198.8486328125,11332.0546875,9,1,2,2,1,22,3,2011,13,40,16,45,2,,,,,,,,,,,,,,,,,1,1,0
4,1,104,2,1364,1103,10013,10198.8486328125,11332.0546875,6,1,2,3,1,22,3,2011,13,5,16,10,3,22,3,2011,16,20,18,40,1,,,,,,,,,1,1,0
4,1,104,2,1364,1103,10014,10198.8486328125,11332.0546875,11,1,2,3,1,23,3,2011,8,30,10,0,3,23,3,2011,10,20,12,0,1,,,,,,,,,1,1,0
4,1,104,2,1364,1103,10015,10198.8486328125,11332.0546875,4,1,2,2,1,23,3,2011,10,12,13,15,2,,,,,,,,,,,,,,,,,1,1,0
4,1,104,2,1364,1103,10016,10198.8486328125,11332.0546875,24,1,2,4,1,21,3,2011,10,25,13,10,3,22,3,2011,14,0,16,27,,,,,,,,,,1,1,0
4,1,104,2,1364,1103,10017,10198.8486328125,11332.0546875,19,1,2,4,1,22,3,2011,10,25,13,5,2,,,,,,,,,,,,,,,,,1,1,0
4,1,104,2,1364,1103,10018,10198.8486328125,11332.0546875,16,1,1,5,1,22,3,2011,10,5,13,20,2,,,,,,,,,,,,,,,,,1,1,0
4,1,104,2,1364,1103,10019,10198.8486328125,11332.0546875,14,1,1,5,1,22,3,2011,14,0,17,30,2,,,,,,,,,,,,,,,,,1,1,0
4,1,104,2,1364,1103,10020,10198.8486328125,11332.0546875,1,1,2,3,1,22,3,2011,8,30,10,40,3,22,3,2011,10,58,12,30,,,,,,,,,,1,1,0
4,1,106,2,880,1104,10021,3172.97509765625,3172.97509765625,4,1,2,2,1,10,3,2011,13,15,16,30,1,,,,,,,,,,,,,,,,,1,1,0
4,1,106,2,880,1104,10022,3172.97509765625,3172.97509765625,10,1,2,2,1,11,3,2011,9,35,13,40,1,,,,,,,,,,,,,,,,,1,1,0
4,1,106,2,880,1104,10023,3172.97509765625,3172.97509765625,3,1,2,2,1,10,3,2011,10,5,13,10,1,,,,,,,,,,,,,,,,,1,1,0
4,1,106,2,880,1104,10024,3172.97509765625,3172.97509765625,13,1,2,3,1,11,3,2011,8,30,11,10,3,11,3,2011,11,20,14,15,1,,,,,,,,,1,1,0
4,1,106,2,880,1104,10025,3172.97509765625,3172.97509765625,7,1,2,3,1,10,3,2011,14,20,14,30,3,10,3,2011,14,30,17,50,1,,,,,,,,,1,1,0
4,1,106,2,880,1104,10026,3172.97509765625,3172.97509765625,2,1,2,3,1,10,3,2011,8,30,10,20,3,10,3,2011,10,30,12,15,1,,,,,,,,,1,1,0
4,1,106,2,880,1104,10027,3172.97509765625,3172.97509765625,9,1,2,4,1,10,3,2011,10,15,14,48,2,11,3,2011,13,35,15,26,1,,,,,,,,,1,1,0
4,1,106,2,880,1104,10028,3172.97509765625,3172.97509765625,1,1,1,4,1,10,3,2011,15,10,17,20,3,11,3,2011,10,20,13,5,1,,,,,,,,,1,1,0
4,1,106,2,880,1104,10029,3172.97509765625,3172.97509765625,6,1,1,5,1,10,3,2011,14,40,17,40,3,11,3,2011,12,40,18,50,1,,,,,,,,,1,1,0
4,1,106,2,880,1104,10030,3172.97509765625,3172.97509765625,8,1,1,5,1,10,3,2011,10,30,14,30,3,11,3,2011,10,30,12,30,1,,,,,,,,,1,1,0
4,1,111,1,1146,1407,10031,8385.7197265625,8385.7197265625,13,1,1,3,1,4,3,2011,9,10,11,30,3,4,3,2011,12,0,13,0,1,,,,,,,,,1,1,0
4,1,111,1,1146,1407,10032,8385.7197265625,8385.7197265625,17,1,1,3,1,4,3,2011,13,30,15,30,3,4,3,2011,15,45,18,0,1,,,,,,,,,1,1,0
4,1,111,1,1146,1407,10033,8385.7197265625,8385.7197265625,31,1,1,2,1,4,3,2011,12,57,16,35,1,,,,,,,,,,,,,,,,,1,1,0
4,1,111,1,1146,1407,10034,8385.7197265625,8385.7197265625,10,1,2,2,1,4,3,2011,9,50,12,48,3,4,3,2011,13,0,16,0,1,,,,,,,,,1,1,0
4,1,111,1,1146,1407,10035,8385.7197265625,8385.7197265625,3,1,1,5,1,6,3,2011,9,45,14,9,2,,,,,,,,,,,,,,,,,1,1,0
4,1,111,1,1146,1407,10036,8385.7197265625,8385.7197265625,20,1,1,5,1,6,3,2011,10,3,14,20,3,7,3,2011,9,16,11,8,2,,,,,,,,,1,1,0
4,1,111,1,1146,1407,10037,8385.7197265625,8385.7197265625,27,1,1,5,1,7,3,2011,11,20,16,35,2,,,,,,,,,,,,,,,,,1,1,0
4,1,111,1,1146,1407,10038,8385.7197265625,8385.7197265625,15,1,1,4,1,6,3,2011,10,20,13,48,3,7,3,2011,16,20,18,25,1,,,,,,,,,1,1,0
4,1,111,1,1146,1407,10039,8385.7197265625,8385.7197265625,22,1,2,4,1,6,3,2011,14,10,15,20,3,7,3,2011,10,8,13,45,1,,,,,,,,,1,1,0
4,1,111,1,1146,1407,10040,8385.7197265625,8385.7197265625,1,1,1,4,1,6,3,2011,15,32,17,5,3,7,3,2011,13,55,16,12,1,,,,,,,,,1,1,0
4,1,102,1,536,1001,10041,9065.6435546875,9065.6435546875,39,1,1,2,1,3,3,2011,9,39,13,17,2,,,,,,,,,,,,,,,,,1,1,0
4,1,102,1,536,1001,10042,9065.6435546875,9065.6435546875,10,1,1,2,1,7,3,2011,9,35,12,45,1,,,,,,,,,,,,,,,,,1,1,0
4,1,102,1,536,1001,10043,9065.6435546875,9065.6435546875,2,1,1,2,1,3,3,2011,13,22,16,30,1,,,,,,,,,,,,,,,,,1,1,0
4,1,102,1,536,1001,10044,9065.6435546875,9065.6435546875,35,1,1,5,1,4,3,2011,10,15,13,25,3,4,3,2011,13,47,15,20,1,,,,,,,,,1,1,0
4,1,102,1,536,1001,10045,9065.6435546875,9065.6435546875,6,1,1,5,1,5,3,2011,10,45,16,20,2,,,,,,,,,,,,,,,,,1,1,0
4,1,102,1,536,1001,10046,9065.6435546875,9065.6435546875,14,1,1,4,1,4,3,2011,10,23,13,10,3,5,3,2011,10,2,13,45,1,,,,,,,,,1,1,0
4,1,102,1,536,1001,10047,9065.6435546875,9065.6435546875,47,1,1,4,1,4,3,2011,13,30,16,5,3,5,3,2011,14,0,17,25,1,,,,,,,,,1,1,0
4,1,102,1,536,1001,10048,9065.6435546875,9065.6435546875,55,1,1,3,1,4,3,2011,8,30,11,20,3,4,3,2011,11,40,14,15,1,,,,,,,,,1,1,0
4,1,102,1,536,1001,10049,9065.6435546875,9065.6435546875,30,1,1,3,1,4,3,2011,14,20,15,50,3,4,3,2011,16,0,17,30,1,,,,,,,,,1,1,0
4,1,102,1,536,1001,10050,9065.6435546875,9065.6435546875,18,1,1,3,1,7,3,2011,9,20,11,10,3,7,3,2011,12,0,14,0,1,,,,,,,,,1,1,0
4,1,102,1,1690,1501,10051,5439.38623046875,5439.38623046875,8,1,1,2,1,2,3,2011,12,55,14,9,1,,,,,,,,,,,,,,,,,1,1,0
4,1,102,1,1690,1501,10052,5439.38623046875,5439.38623046875,3,1,1,2,1,2,3,2011,11,10,13,10,3,2,3,2011,14,0,14,35,1,,,,,,,,,1,1,0
4,1,102,1,1690,1501,10053,5439.38623046875,5439.38623046875,18,1,1,3,1,2,3,2011,13,30,17,20,3,3,3,2011,9,0,12,0,1,,,,,,,,,1,1,0
4,1,102,1,1690,1501,10054,5439.38623046875,5439.38623046875,4,1,1,3,1,2,3,2011,9,0,13,0,3,3,3,2011,12,30,15,34,1,,,,,,,,,1,1,0
4,1,102,1,1690,1501,10055,5439.38623046875,5439.38623046875,15,1,1,4,1,2,3,2011,15,15,17,10,3,3,3,2011,14,8,17,25,1,,,,,,,,,1,1,0
4,1,102,1,1690,1501,10056,5439.38623046875,5439.38623046875,6,1,1,4,1,2,3,2011,11,15,14,25,2,3,3,2011,10,5,13,18,1,,,,,,,,,1,1,0
4,1,102,1,1690,1501,10057,5439.38623046875,5439.38623046875,10,1,1,4,1,2,3,2011,13,46,15,20,3,3,3,2011,13,48,15,21,1,,,,,,,,,1,1,0
4,1,102,1,1690,1501,10058,5439.38623046875,5439.38623046875,1,1,1,5,1,3,3,2011,12,45,17,10,2,,,,,,,,,,,,,,,,,1,1,0
4,1,102,1,1690,1501,10059,5439.38623046875,5439.38623046875,13,1,1,5,1,2,3,2011,14,0,18,0,2,,,,,,,,,,,,,,,,,1,1,0
