"zone","state","lga","sector","ea","hhid","death_num","s15bq3","s15bq4","s15bq5a","s15bq5b","s15bq5c","s15bq6","s15bq6b","tracked_obs"
4,1,106,2,880,10029,1,1,0,,,,1,,0
4,1,111,1,1146,10037,1,2,44,15,3,12,6,"CHILD DELIVERY",0
4,1,110,2,76,10086,1,1,66,12,12,11,1,,0
4,1,108,2,904,10101,1,1,85,15,9,12,1,,0
4,1,108,2,904,10107,1,2,71,23,2,13,1,,0
2,2,209,2,1040,20006,1,1,0,28,11,12,1,,0
2,2,209,2,1040,20008,1,1,7,8,11,12,1,,0
2,2,221,2,18,20018,1,2,1,18,10,12,1,,0
2,2,216,2,200,20034,1,2,22,12,9,12,6,"DURING GIVEN BIRTH",0
2,2,203,2,1224,20045,1,2,48,18,10,12,1,,0
2,2,207,2,1302,20091,1,1,1,17,2,13,1,,0
2,2,207,2,1302,20093,1,2,25,26,12,12,1,,0
2,2,205,2,712,20107,1,2,0,3,1,13,1,,0
5,3,307,1,634,30046,1,2,6,20,4,12,1,,0
5,3,307,1,634,30047,1,1,62,7,9,12,5,,0
5,3,321,2,364,30052,1,2,18,12,8,12,1,,0
5,3,321,2,364,30057,1,2,9,16,8,12,1,,0
5,3,329,2,696,30062,1,2,56,23,7,12,5,,0
5,3,329,2,696,30067,1,1,67,31,3,12,1,,0
5,3,313,2,70,30097,1,1,73,6,7,12,1,,0
5,3,301,1,1198,30102,1,2,4,20,8,12,5,,0
5,3,326,2,74,30117,1,1,50,25,3,12,1,,0
5,3,305,2,1542,30130,1,1,32,30,12,12,2,,0
5,3,305,2,4,30141,1,1,42,26,2,12,1,,0
5,3,305,2,4,30142,1,2,0,16,12,12,1,,0
5,3,305,2,4,30145,1,2,,8,12,12,1,,0
4,4,417,1,678,40017,1,2,24,15,7,12,1,,0
4,4,417,1,678,40018,1,1,65,29,1,13,1,,0
4,4,415,2,0,40044,1,1,68,0,4,1,1,,1
4,4,405,2,722,40064,1,1,85,10,10,12,1,,0
4,4,405,2,484,40079,1,2,70,23,7,12,1,,0
4,4,419,2,296,40082,1,1,46,21,2,13,1,,0
4,4,419,2,296,40083,1,2,52,13,6,12,1,,0
4,4,410,2,4036,40124,1,2,70,28,1,13,1,,0
4,4,407,2,796,40132,1,1,50,20,7,12,1,,0
4,4,410,1,3192,40144,1,1,21,26,6,12,2,,0
4,4,410,1,3414,40158,1,1,23,26,11,12,1,,0
4,4,421,1,800,40172,1,2,36,4,4,12,1,,0
4,4,402,2,1080,40202,1,2,92,15,3,12,1,,0
4,4,402,2,1080,40209,1,1,87,99,10,12,1,,0
2,5,502,1,2194,50012,1,2,14,,5,12,1,,0
2,5,502,1,2194,50016,1,1,12,15,4,12,1,,0
2,5,502,1,2194,50018,1,1,,13,3,12,1,,0
