"hhid","zone","state","lga","sector","ea","ric","wt_wave2","wt_combined","hhno","qno","qnoa","saq11","saq12","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15","saq16","saq17d","saq17m","saq17y","saq18ah","saq18am","saq18bh","saq18bm","saq19","saq20","saq21d","saq21m","saq21y","saq22ah","saq22am","saq22bh","saq22bm","saq23","saq24","saq1","saq2","tracked_obs"
10001,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,30,1,1,2,1,18,3,2013,13,50,17,0,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10002,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,14,1,1,2,1,19,3,2013,15,15,18,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10003,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,40,1,1,3,1,18,3,2013,9,10,12,20,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10004,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,62,1,1,3,1,19,3,2013,10,5,13,15,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10005,4,1,115,1,670,1309,,,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0
10006,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,24,1,1,4,1,19,3,2013,11,12,15,4,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10007,4,1,115,1,670,1309,,,35,,,1,1,17,3,2013,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0
10008,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,51,1,1,1,1,18,3,2013,14,10,18,15,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10009,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,19,1,1,4,1,18,3,2013,10,25,13,47,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10010,4,1,115,1,670,1309,11898.6568863488,11898.6568863488,46,1,1,4,1,18,3,2013,13,58,17,22,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10011,4,1,104,2,1364,1103,11332.054177475,11332.054177475,21,1,1,2,1,26,2,2013,14,0,17,55,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10012,4,1,104,2,1364,1103,11332.054177475,11332.054177475,9,1,2,2,1,26,2,2013,10,53,13,58,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10013,4,1,104,2,1364,1103,11332.054177475,11332.054177475,6,1,2,3,1,26,2,2013,13,11,16,45,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10014,4,1,104,2,1364,1103,11332.054177475,11332.054177475,11,1,2,3,1,26,2,2013,9,45,12,38,1,2,,,,,,,,,,,,,,,,,,,1,1,0
10015,4,1,104,2,1364,1103,11332.054177475,11332.054177475,4,1,2,2,1,27,2,2013,10,35,14,5,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10016,4,1,104,2,1364,1103,11332.054177475,11332.054177475,24,1,2,4,1,27,2,2013,10,32,13,15,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10017,4,1,104,2,1364,1103,11332.054177475,11332.054177475,19,1,1,4,1,26,2,2013,15,40,18,0,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10018,4,1,104,2,1364,1103,11332.054177475,11332.054177475,16,1,2,4,1,26,2,2013,12,5,15,25,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10019,4,1,104,2,1364,1103,11332.054177475,11332.054177475,14,1,2,1,1,26,2,2013,10,30,15,30,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10020,4,1,104,2,1364,1103,,,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0
10021,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,4,1,2,2,1,23,2,2013,15,18,18,25,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10022,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,10,1,2,2,1,25,2,2013,10,23,13,31,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10023,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,3,1,2,2,1,25,2,2013,11,56,15,20,1,1,,,,,,,,,,,,,,,,,,,1,1,0
10024,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,13,1,2,3,1,25,2,2013,9,20,13,5,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10025,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,7,0,0,3,1,23,2,2013,11,37,14,15,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10026,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,2,1,2,3,1,25,2,2013,13,20,16,32,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10027,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,9,1,2,4,1,23,2,2013,12,52,15,39,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10028,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,1,1,2,4,1,25,2,2013,14,56,16,10,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10029,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,6,1,2,1,1,23,2,2013,12,15,16,10,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10030,4,1,106,2,880,1104,3172.97516969301,3172.97516969301,8,1,1,4,1,25,2,2013,10,26,13,17,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10031,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,13,1,1,3,1,15,3,2013,13,10,16,10,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10032,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,17,1,1,3,1,15,3,2013,9,15,12,20,2,1,,,,,,,,,,,,,,,,,,,1,1,0
10033,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,31,1,1,2,1,16,3,2013,13,0,16,15,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10034,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,10,1,2,2,1,15,3,2013,10,18,13,35,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10035,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,3,1,1,2,1,15,3,2013,13,40,16,53,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10036,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,20,1,1,1,1,15,3,2013,11,30,13,10,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10037,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,27,1,1,3,1,16,3,2013,10,5,13,12,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10038,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,15,1,1,4,1,15,3,2013,10,45,14,20,2,2,,,,,,,,,,,,,,,,,,,1,1,0
10039,4,4,410,1,0,0,8385.72009133152,8385.72009133152,0,1,1,2,1,11,7,2013,11,45,13,30,17,1,,,,,,,,,,,,,,,,,,,1,1,3
10040,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,1,4,1,15,3,2013,14,10,15,40,3,3,16,3,2013,10,30,12,41,2,2,,,,,,,,,,1,1,0
