"zone","state","lga","sector","ea","hhid","death_num","s15bq3","s15bq4","s15bq5a","s15bq5b","s15bq5c","s15bq6","s15bq6b"
4,1,104,2,1364,10012,1,1,4,15,6,14,1,
4,1,104,2,0,10015,1,1,75,5,2,16,1,
4,1,106,2,880,10021,1,2,96,1,6,14,1,
4,1,106,2,880,10023,1,2,83,99,6,14,1,
4,1,111,1,1146,10037,1,2,22,15,6,13,1,
4,1,102,1,536,10044,1,1,0,9,6,15,1,
4,1,107,2,1044,10062,1,1,15,17,5,13,1,
4,1,102,1,0,10065,1,1,58,9,2,13,1,
4,1,107,2,1044,10066,1,1,91,25,10,15,1,
4,1,107,2,1044,10067,1,1,19,9,10,14,1,
4,1,107,2,0,10070,1,1,58,31,8,14,1,
4,1,117,2,560,10077,1,2,75,4,4,15,1,
4,1,110,2,76,10082,1,1,42,9,5,13,1,
4,1,110,2,76,10085,1,1,48,15,6,13,1,
4,1,110,2,76,10089,1,1,72,5,11,15,1,
4,1,105,2,638,10091,1,1,83,22,2,16,1,
4,1,105,2,638,10097,1,2,53,16,4,15,1,
4,1,105,2,638,10098,1,1,85,4,2,16,1,
4,1,108,2,904,10109,1,1,24,15,7,13,1,
2,2,209,2,1040,20006,1,2,72,12,8,14,1,
2,2,209,2,1040,20006,2,1,83,2,3,13,1,
2,2,209,2,1040,20006,3,1,7,11,7,13,1,
2,2,209,2,1040,20007,1,2,15,3,11,13,1,
2,2,209,2,1040,20008,1,1,12,8,1,14,1,
2,2,209,2,1040,20009,1,1,84,99,99,13,1,
2,2,209,2,1040,20009,2,2,76,99,99,13,1,
2,2,209,2,1040,20010,1,1,68,13,5,15,1,
2,2,221,2,18,20014,1,1,80,8,1,16,1,
2,2,221,2,18,20015,1,1,82,14,8,13,1,
2,2,201,2,60,20023,1,2,82,18,2,13,1,
2,2,201,2,60,20029,1,2,72,5,6,13,1,
2,2,216,2,200,20031,1,2,40,20,3,14,1,
2,2,216,2,200,20034,1,2,82,11,2,13,6,"SNAKE BITE"
2,2,216,2,200,20037,1,2,75,13,10,13,1,
2,2,203,2,1224,20047,1,2,2,2,2,14,1,
2,2,203,2,1224,20049,1,1,75,1,8,14,1,
2,2,212,2,956,20054,1,1,12,99,2,13,1,
2,2,210,2,1300,20070,1,1,45,17,9,14,1,
2,2,214,2,898,20071,1,2,12,5,2,15,1,
2,2,214,2,898,20071,2,2,16,22,12,13,1,
2,2,214,2,898,20075,1,1,18,13,7,14,1,
2,2,214,2,898,20075,2,1,12,7,2,13,1,
2,2,214,2,898,20075,3,1,19,11,11,15,1,
2,2,214,2,898,20075,4,1,32,20,3,13,1,
2,2,215,1,8,20085,1,1,52,28,11,14,1,
2,2,215,1,8,20085,2,1,86,8,11,14,1,
2,2,207,2,1302,20091,1,1,2,23,2,14,1,
2,2,207,2,1302,20093,1,2,27,27,12,14,6,"DURING DELIVERY"
2,2,207,2,1302,20100,1,2,63,16,10,13,1,
2,2,205,2,712,20108,1,2,68,6,7,14,1,
2,2,218,2,1592,20112,1,2,19,99,7,13,1,
2,2,218,2,1592,20113,1,1,14,4,2,13,1,
2,2,218,2,1592,20114,1,2,61,7,2,16,1,
2,2,218,2,1592,20115,1,1,4,20,1,13,1,
2,2,218,2,1592,20116,1,2,7,1,9,16,1,
2,2,218,2,1592,20117,1,1,72,3,11,13,1,
2,2,218,2,1592,20120,1,1,57,15,3,13,1,
5,3,331,1,2322,30002,1,1,55,7,3,14,1,
5,3,331,1,516,30020,1,1,25,11,2,14,6,"slum"
5,3,316,2,874,30023,1,2,8,9,1,15,1,
5,3,309,2,478,30034,1,1,2,17,6,14,1,
5,3,309,2,478,30034,2,1,4,17,6,14,1,
5,3,309,2,478,30037,1,2,87,21,6,15,1,
5,3,307,2,0,30050,1,2,37,8,2,14,1,
5,3,321,2,364,30052,1,1,87,20,3,15,1,
5,3,321,2,364,30054,1,2,1,3,4,13,1,
5,3,321,2,364,30059,1,1,72,16,8,15,1,
5,3,329,2,696,30065,1,1,69,3,12,14,1,
5,3,329,2,696,30066,1,1,35,7,10,14,1,
5,3,329,2,696,30067,1,1,78,5,6,14,1,
5,3,323,2,580,30074,1,1,98,11,4,15,1,
5,3,323,2,580,30076,1,2,1,10,2,10,1,
5,3,323,2,580,30079,1,1,55,10,12,14,1,
5,3,318,2,1136,30084,1,1,58,10,9,14,1,
5,3,318,2,1136,30087,1,1,62,15,4,14,1,
5,3,318,2,0,30089,1,1,70,27,4,14,1,
5,3,301,1,0,30102,1,1,5,1,2,14,1,
5,3,301,1,0,30102,2,2,5,15,8,12,1,
5,3,301,1,0,30102,3,1,40,24,9,14,2,
5,3,301,1,1198,30108,1,2,60,21,3,15,1,
5,3,301,1,1198,30108,2,1,72,25,1,16,1,
5,3,305,2,1542,30126,1,1,41,14,2,15,3,
5,3,305,2,1542,30127,1,1,67,1,1,15,1,
5,3,312,2,20,30134,1,2,32,27,5,13,1,
5,3,305,2,4,30141,1,2,99,28,11,14,1,
5,3,305,2,4,30142,1,2,0,16,3,14,1,
4,4,418,1,44,40002,1,2,5,5,3,15,1,
4,4,417,1,678,40013,1,2,74,15,5,15,1,
4,4,417,1,678,40019,1,2,39,1,4,14,1,
4,4,416,1,616,40028,1,1,85,24,11,13,1,
4,4,415,1,2108,40045,1,1,35,4,11,14,1,
4,4,413,2,1540,40055,1,1,63,21,8,13,1,
4,4,405,2,0,40068,1,1,70,18,9,14,1,
4,4,405,2,484,40071,1,2,59,3,10,14,1,
4,4,405,2,484,40071,2,1,72,12,3,13,1,
4,4,405,2,484,40074,1,1,48,12,6,14,1,
4,4,405,2,484,40074,2,1,46,25,12,15,5,
4,4,405,2,484,40080,1,1,73,12,1,13,1,
4,4,419,2,296,40082,1,1,46,16,2,13,1,
4,4,419,2,296,40082,2,1,93,21,3,14,1,
4,4,401,1,1460,40098,1,1,68,16,4,13,1,
4,4,412,2,2592,40105,1,2,73,20,10,13,1,
4,4,412,2,1606,40119,1,2,55,27,2,16,1,
4,4,410,2,4036,40123,1,2,87,20,8,14,1,
4,4,410,2,4036,40124,1,2,66,20,10,14,1,
4,4,406,1,0,40150,1,2,74,20,5,15,1,
4,4,410,1,3414,40154,1,2,94,29,1,16,1,
4,4,401,1,738,40168,1,1,99,14,6,15,1,
4,4,401,1,738,40170,1,1,53,14,12,15,1,
4,4,421,1,800,40172,1,2,39,24,11,13,1,
4,4,421,1,0,40173,1,2,76,17,5,13,1,
4,4,411,1,1486,40182,1,1,70,19,8,13,1,
4,4,401,2,2106,40191,1,1,32,20,12,14,1,
4,4,401,2,2106,40195,1,2,82,17,12,15,1,
4,4,403,2,836,40216,1,1,10,12,9,14,1,
2,5,506,2,830,50005,1,1,2,20,6,13,1,
2,5,502,1,2194,50016,1,1,12,9,10,13,1,
2,5,502,1,2194,50016,2,2,7,20,11,13,1,
2,5,502,1,2194,50018,1,1,60,23,4,12,1,
2,5,515,2,18,50029,1,2,9,15,6,14,1,
