"zone","state","lga","sector","ea","hhid","indiv","s1q2","s1q3","s1q3b","s1q4","s1q4a","s1q5","s1q6_day","s1q6_month","s1q6_year","s1q7","s1q8","s1q9","s1q11","s1q12","s1q12a","s1q12a_os","s1q12b","s1q12c","s1q13","s1q15","s1q16","s1q16b","s1q17","s1q18","s1q19","s1q20","s1q21","s1q22","s1q22b","s1q23","s1q24","s1q25","s1q26","s1q27","s1q27b","s1q28","s1q28b","s1q29","s1q30","s1q31a","s1q31b","s1q31c","s1q31d","s1q32","s1q33","s1q34","s1q34b","s1q35","s1q36","s1q36b","s1q37","s1q38","s1q39","s1q39b","s1q40","s1q41"
4,1,115,1,670,10001,1,1,1,,52,1,2,,,,1,2,,1,2,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10001,2,2,2,,38,1,2,,,,1,2,,1,1,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10001,3,2,3,,6,1,1,12,4,2010,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10001,4,2,12,,48,1,2,,,,7,,,,,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10001,5,1,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,"OHAHIA",110,"ABIA",1,,,,,,,,,,,,,
4,1,115,1,670,10001,6,2,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,"OHAFIA",110,"ABIA",1,,,,,,,,,,,,,
4,1,115,1,670,10001,7,1,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,"OHAFIA",110,"ABIA",1,,,,,,,,,,,,,
4,1,115,1,670,10001,8,1,3,,4,1,1,20,10,2012,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10001,9,1,3,,0,1,1,30,10,2015,7,,,,,3,,2,,2,2,1,,1,1,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10002,1,1,1,,52,1,2,,,,1,2,,1,2,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10002,2,2,2,,38,1,2,,,,1,2,,1,1,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10002,3,1,3,,14,1,2,,,,7,,,,,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10002,4,1,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"OJO",2417,"LAGOS",24,,,,,,,,,,,,,
4,1,115,1,670,10002,5,2,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,"ISIKWATO",108,"ABIA",1,,,,,,,,,,,,,
4,1,115,1,670,10002,6,2,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,"ISIKWUATO",108,"ABIA",1,,,,,,,,,,,,,
4,1,115,1,670,10002,7,1,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,"ABA SOUTH",102,"ABIA",1,,,,,,,,,,,,,
4,1,115,1,670,10002,8,2,3,,4,1,1,26,4,2011,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10002,9,2,3,,3,1,1,9,10,2012,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10003,1,1,1,,56,1,2,,,,1,2,,1,2,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10003,2,2,2,,45,1,2,,,,1,2,,1,1,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10003,3,1,3,,20,1,2,,,,7,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10003,4,2,3,,18,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10003,5,1,3,,16,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10003,6,1,3,,11,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10004,1,1,1,,70,1,2,,,,1,2,,1,2,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10004,2,2,2,,59,1,2,,,,1,2,,1,1,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10004,3,1,12,,18,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10004,4,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,"SURULERE",2420,"LAGOS",24,,,,,,,,,,,,,
4,1,115,1,670,10004,5,2,12,,11,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10005,1,1,1,,49,1,2,,,,1,2,,1,2,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
