"hhid","zone","state","lga","sector","ea","ric","wt_wave3","wt_w1_w2_w3","saq7","qno","qno1","ag1","ag2","ag3","saq11","saq12","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22a_os","saq22b","tracked_obs","phonly_hh"
10001,4,1,115,1,670,1309,11898.6568863488,13598.46501297,30,1,1,2,2,2,5,1,"14032016",14,3,2016,10,0,12,30,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10002,4,1,115,1,670,1309,11898.6568863488,13598.46501297,14,1,1,2,2,2,5,1,"15032016",15,3,2016,13,5,17,30,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10003,4,1,115,1,670,1309,11898.6568863488,13598.46501297,40,1,1,2,2,2,2,1,"14032016",14,3,2016,13,14,16,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10004,4,1,115,1,670,1309,11898.6568863488,13598.46501297,62,1,1,2,2,2,2,1,"14032016",14,3,2016,10,46,13,6,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10005,4,1,115,1,670,1309,11898.6568863488,,1,1,1,2,2,2,2,1,"17032016",17,3,2016,14,20,17,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10006,4,1,115,1,0,0,,,0,1,1,,,,4,1,"14032016",14,3,2016,,,,,,,"16032016",16,3,2016,,,,,,,"17032016",17,3,2016,,,,,,,1,4,,,0,0
10008,4,1,115,1,670,1309,11898.6568863488,13598.46501297,51,1,1,2,2,2,4,1,"14032016",14,3,2016,14,3,17,21,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10009,4,1,105,2,0,0,11898.6568863488,13598.46501297,0,1,2,1,2,1,3,1,"15032016",15,3,2016,16,20,18,45,8,,"16032016",16,3,2016,16,33,19,52,8,,,,,,,,,,,,2,1,,1,0,0
10010,4,1,115,1,670,1309,11898.6568863488,13598.46501297,46,1,1,2,2,2,3,1,"14032016",14,3,2016,12,10,14,35,8,,"15032016",15,3,2016,11,18,13,8,16,,,,,,,,,,,,2,1,,1,0,0
10011,4,1,104,2,1364,1103,11332.054177475,11332.054177475,21,1,2,1,2,1,5,1,"25022016",25,2,2016,10,15,13,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10012,4,1,104,2,1364,1103,11332.054177475,11332.054177475,9,1,2,1,2,1,4,1,"26022016",26,2,2016,10,12,13,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10013,4,1,104,2,1364,1103,11332.054177475,11332.054177475,6,1,2,1,2,1,2,1,"26022016",26,2,2016,11,11,14,6,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10014,4,1,104,2,1364,1103,11332.054177475,11332.054177475,11,1,1,2,2,2,2,1,"27022016",27,2,2016,9,30,12,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10015,4,1,104,2,0,0,11332.054177475,11332.054177475,0,1,2,1,2,1,4,1,"27022016",27,2,2016,10,34,14,8,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10016,4,1,104,2,1364,1103,11332.054177475,11332.054177475,24,1,2,1,2,1,3,1,"27022016",27,2,2016,11,20,14,54,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10017,4,1,104,2,1364,1103,11332.054177475,11332.054177475,19,1,2,1,2,1,3,1,"26022016",26,2,2016,8,55,12,7,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10018,4,1,104,2,1364,1103,11332.054177475,11332.054177475,16,1,2,1,2,1,3,1,"26022016",26,2,2016,12,34,18,16,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10019,4,1,104,2,1364,1103,11332.054177475,11332.054177475,14,1,2,1,2,1,5,1,"26022016",26,2,2016,12,0,16,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10021,4,1,106,2,880,1104,3525.52796632556,3525.52796632556,4,1,2,1,1,1,5,1,"22022016",22,2,2016,10,30,15,25,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10022,4,1,106,2,880,1104,3525.52796632556,3525.52796632556,10,1,2,1,2,1,3,1,"22022016",22,2,2016,10,15,13,26,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10023,4,1,106,2,880,1104,3525.52796632556,3525.52796632556,3,1,2,1,2,1,4,1,"22022016",22,2,2016,9,6,13,41,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10024,4,1,106,2,880,1104,3525.52796632556,3525.52796632556,13,1,2,1,2,1,2,1,"23022016",23,2,2016,9,20,12,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10025,4,1,106,2,880,1104,3525.52796632556,3525.52796632556,7,1,2,1,1,1,2,1,"22022016",22,2,2016,14,5,17,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10027,4,1,106,2,880,1104,3525.52796632556,3525.52796632556,9,1,2,1,2,1,3,1,"23022016",23,2,2016,10,3,14,16,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10028,4,1,106,2,880,1104,3525.52796632556,3525.52796632556,1,1,1,2,2,2,3,1,"22022016",22,2,2016,13,40,17,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10029,4,1,106,2,880,1104,3525.52796632556,3525.52796632556,6,1,2,1,2,1,4,1,"22022016",22,2,2016,14,47,16,50,8,,"23022016",23,2,2016,11,26,13,2,16,,,,,,,,,,,,1,1,,1,0,0
10030,4,1,106,2,880,1104,3525.52796632556,3525.52796632556,8,1,2,1,2,1,5,1,"23022016",23,2,2016,11,0,13,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10031,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,13,1,1,2,2,2,2,1,"09032016",9,3,2016,11,10,14,10,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10032,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,17,1,1,2,2,2,2,1,"08032016",8,3,2016,13,15,15,40,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10033,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,31,1,2,1,2,1,5,1,"08032016",8,3,2016,11,0,13,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10034,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,10,1,1,2,2,2,5,1,"09032016",9,3,2016,11,0,14,5,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10035,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,3,1,1,2,2,2,4,1,"08032016",8,3,2016,11,20,14,43,15,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10036,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,20,1,1,2,2,2,4,1,"09032016",9,3,2016,11,30,14,48,15,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10037,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,27,1,1,2,2,2,2,1,"08032016",8,3,2016,10,5,13,10,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10038,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,15,1,1,2,2,2,3,1,"09032016",9,3,2016,10,20,13,54,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10039,4,4,410,2,0,0,8385.72009133152,8385.72009133152,0,1,1,2,2,2,3,1,"16032016",16,3,2016,12,20,15,5,9,,"17032016",17,3,2016,11,45,14,0,7,,,,,,,,,,,,1,1,,1,0,0
10040,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,1,2,2,2,3,1,"08032016",8,3,2016,10,49,13,38,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10041,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,39,1,1,2,2,2,4,1,"10032016",10,3,2016,10,30,13,56,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10042,6,24,2418,1,0,0,9065.64334198002,9065.64334198002,0,1,1,2,2,2,6,1,"07032016",7,3,2016,9,25,12,50,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10043,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,2,1,1,2,2,2,4,1,"10032016",10,3,2016,16,20,16,56,3,,"11032016",11,3,2016,12,24,15,43,16,,,,,,,,,,,,2,1,,1,0,0
10044,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,35,1,1,2,2,2,3,1,"11032016",11,3,2016,10,48,14,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10045,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,6,1,1,2,2,2,5,1,"11032016",11,3,2016,14,10,17,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10046,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,14,1,1,2,2,2,3,1,"10032016",10,3,2016,11,2,15,17,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10047,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,47,1,1,2,2,2,5,1,"10032016",10,3,2016,13,10,15,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10048,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,55,1,1,2,2,2,5,1,"11032016",11,3,2016,10,50,13,1,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10049,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,30,1,1,2,2,2,2,1,"11032016",11,3,2016,11,40,14,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10050,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,18,1,1,2,2,2,2,1,"10032016",10,3,2016,10,16,13,0,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10051,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,8,1,1,2,2,2,4,1,"12032016",12,3,2016,9,24,12,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10052,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,3,1,1,2,2,2,4,1,"13032016",13,3,2016,9,12,12,53,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10053,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,18,1,1,2,2,2,2,1,"12032016",12,3,2016,11,20,14,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10054,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,4,1,1,2,2,2,2,1,"13032016",13,3,2016,12,10,15,25,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10055,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,15,1,1,2,2,2,3,1,"12032016",12,3,2016,10,10,13,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10056,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,6,1,1,2,2,2,3,1,"12032016",12,3,2016,13,30,16,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10057,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,10,1,2,1,2,1,3,1,"13032016",13,3,2016,11,20,15,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10058,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,1,1,2,2,2,5,1,"12032016",12,3,2016,10,30,14,45,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
